!	bang|exclamation|mark|point
#	hash|hashtag|lb|number|pound|sign
#⃣	keycap
$	dollar|money|peso|usd
⇢	arrow|dashed|rightwards
⇣	arrow|dashed|downwards
⇤	arrow|bar|leftwards
⇥	arrow|bar|rightwards
⇦	arrow|hollow|leftwards
⇧	arrow|hollow|upwards
⇨	arrow|hollow|rightwards
⇩	arrow|downwards|hollow
⇪	arrow|bar|hollow|upwards
⇵	arrow|downwards|leftwards|upwards
∀	all|any|given|universal
∂	differential|partial
∃	exists|there
∅	empty|mathematics|operator|set
∆	increment|triangle
∇	nabla|triangle
∈	contains|element|membership|set
∉	element|not
∋	contains|element|member
∎	end|halmos|proof|qed|tombstone
∏	logic|ary|product
∑	mathematics|ary|summation
−	minus|sign|subtract
∓	minus|plus
∕	division|slash|stroke|virgule
∗	asterisk|operator|star
∘	composition|operator|ring
∙	bullet|operator
√	radical|radix|root|square|surd
∝	proportional|proportionality
∞	infinity|sign
∟	angle|mathematics|right
∠	acute|angle
∣	divides|divisor
∥	parallel
∧	ac|atque|logical|wedge
∩	intersection|set
∪	collection|set|union
∫	calculus|integral
∬	calculus|double|integral
∮	contour|integral
∴	logic|therefore
∵	because|logic
∶	ratio
∷	proportion|proportionality
∼	operator|tilde
∽	reversed|tilde
∾	inverted|lazy
≃	asymptote|asymptotically|equal|mathematics
≅	approximately|congruence|equal|equality|isomorphism|mathematics
≈	almost|approximate|approximation|equal
≌	all|equal|equality|mathematics
≒	approximately|equal|image
≖	equal|equality|mathematics|ring
≠	equal|inequality|inequation|not
≡	exact|identical|triple
≣	equality|equivalent|mathematics|strictly
≤	equal|equals|inequality|less|than
≥	equal|equals|greater|than|inequality
≦	equal|inequality|less|than|mathematics|over
≧	equal|greater|than|inequality|mathematics|over
≪	inequality|less|than|mathematics|much
≫	greater|than|inequality|mathematics|much
≬	between
≮	inequality|less|than|mathematics|not
≯	greater|than|inequality|mathematics|not
≳	equivalent|greater|than|inequality|mathematics
≺	mathematics|operator|precedes|set
≻	mathematics|operator|set|succeeds
⊁	does|mathematics|not|operator|set|succeed
⊂	set|subset
⊃	mathematics|operator|set|superset
⊆	equal|subset
⊇	equal|equality|mathematics|superset
⊕	circled|plus
⊖	circled|difference|erosion|minus|symmetric
⊗	circled|product|tensor|times
⊘	circled|division|like|mathematics|slash
⊙	circled|dot|operator|xnor
⊚	circled|operator|ring
⊛	asterisk|circled|operator
⊞	addition|like|mathematics|plus|squared
⊟	mathematics|minus|squared|subtraction|like
⊥	eet|falsum|tack|up
⊮	does|force|not
⊰	mathematics|operator|precedes|relation|set|under
⊱	mathematics|operator|relation|set|succeeds|under
⊶	original
⊹	conjugate|hermitian|mathematics|matrix|self|adjoint|square
⊿	mathematics|right|angled|triangle
⋁	disjunction|logic|logical|ary
⋂	intersection|mathematics|ary|operator|set
⋃	mathematics|ary|operator|set|union
⋅	dot|operator
⋆	operator|star
⋈	binary|bowtie|join|natural|operator
⋒	double|intersection|mathematics|operator|set
⋘	inequality|less|than|mathematics|much|very
⋙	greater|than|inequality|mathematics|much|very
⋭	contain|does|equal|group|mathematics|normal|not|subgroup|theory
⋮	ellipsis|mathematics|vertical
⋯	ellipsis|horizontal|midline
⋰	diagonal|ellipsis|mathematics|right|up
⋱	diagonal|down|ellipsis|mathematics|right
⌚	clock|time|watch
⌛	done|hourglass|sand|time|timer
⌨	computer|keyboard
⏏	button|eject
⏩	arrow|button|double|fast|forward
⏪	arrow|button|double|fast|reverse|rewind
⏫	arrow|button|double|fast|up
⏬	arrow|button|double|down|fast
⏭	arrow|button|next|scene|track|triangle
⏮	arrow|button|last|previous|scene|track|triangle
⏯	arrow|button|pause|play|right|triangle
⏰	alarm|clock|hours|hrs|late|time|waiting
⏱	clock|stopwatch|time
⏲	clock|timer
⏳	done|flowing|hourglass|hours|not|sand|timer|waiting|yolo
⏸	bar|button|double|pause|vertical
⏹	button|square|stop
⏺	button|circle|record
Ⓜ	circle|circled
■	filled|square
□	hollow|square
▢	corners|hollow|rounded|square
▣	containing|filled|hollow|square
▤	fill|horizontal|square
▥	fill|square|vertical
▦	crosshatch|fill|orthogonal|square
▧	fill|left|lower|right|square|upper
▨	fill|left|lower|right|square|upper
▩	crosshatch|diagonal|fill|square
▪	black|geometric|small|square
▫	geometric|small|square|white
▬	filled|rectangle
▭	hollow|rectangle
▮	filled|rectangle|vertical
▰	filled|parallelogram
▲	arrow|filled|triangle|up|pointing
△	hollow|triangle|up|pointing
▴	filled|small|triangle|up|pointing
▵	hollow|small|triangle|up|pointing
▶	arrow|button|play|right|triangle
▷	hollow|right|pointing|triangle
▸	filled|right|pointing|small|triangle
▹	hollow|right|pointing|small|triangle
►	filled|pointer|right|pointing
▻	hollow|pointer|right|pointing
▼	arrow|down|pointing|filled|triangle
▽	down|pointing|hollow|triangle
▾	down|pointing|filled|small|triangle
▿	down|pointing|hollow|small|triangle
◀	arrow|button|left|reverse|triangle
◁	hollow|left|pointing|triangle
◂	filled|left|pointing|small|triangle
◃	hollow|left|pointing|small|triangle
◄	filled|left|pointing|pointer
◅	hollow|left|pointing|pointer
◆	diamond|filled
◇	diamond|hollow
◈	containing|diamond|filled|hollow
◉	cicles|circle|circled|concentric|containing|dot|filled|fisheye|hollow|ward
